rank,category,product_link,name,avg_rating,review_link,rating_count,prime,Images,sentiment score,Answered_Questions,Price,Discount,customer_review_count
50,toys,/Frozen-Snow-Glow-Elsa-Doll/dp/B07KWX4MDF/,"            Disney Frozen Snow Glow Elsa Doll - Features Iconic ICY Blue Snowflake Dress - Sings Let It Go - Ages 3+, 14 in        ",4.6,/product-reviews/B07KWX4MDF/,6,prime,7,0.8450906,4,17.88,49,6
51,toys,/Jenga-Fortnite-Wooden-Stacking-Applicable/dp/B07VZYRY1R/,"            Jenga: Fortnite Edition Game, Wooden Block Stacking Tower Game for Fortnite Fans, Ages 8 & Up, Not Applicable        ",4.3,/product-reviews/B07VZYRY1R/,11,prime,7,0.7064812,0,15.99,20,10
52,toys,/Mattel-Games-UNO-Disney-Frozen/dp/B07W5KTPCS/,            Mattel Games UNO Disney Frozen II        ,5,/product-reviews/B07W5KTPCS/,8,prime,5,0.7427823,0,5.99,0,1
53,toys,/Funko-Advent-Calendar-Marvel-Anniversary/dp/B07PQTDG9Q/,"            Funko Advent Calendar: Marvel 80th Anniversary, 24Pc        ",4.3,/product-reviews/B07PQTDG9Q/,68,prime,4,0.6861876,42,43.99,0,42
54,toys,/LEGO-X-Wing-Starfighter-Trench-Building/dp/B07GZ5VB4T/,"            LEGO Star Wars X-Wing Starfighter Trench Run 75235 4+ Building Kit, 2019 (132 Pieces)        ",4.8,/product-reviews/B07GZ5VB4T/,42,prime,7,0.8276344,4,23.99,20,36
56,toys,/Crayola-Wonder-Frozen-Coloring-Markers/dp/B07N3GGLQZ/,"            Crayola Color Wonder Frozen Coloring Book & Markers, Mess Free Coloring, Gift for Kids, Age 3, 4, 5, 6 (Styles May Vary)        ",4.6,/product-reviews/B07N3GGLQZ/,59,prime,1,0.557092,0,6.97,13,51
57,toys,/LEGO-Disney-Enchanted-Treehouse-Building/dp/B07PZF1GQQ/,"            LEGO Disney Frozen II Enchanted Treehouse 41164 Toy Treehouse Building Kit featuring Anna Mini Doll and Bunny Figure for Pretend Play, New 2019 (302 Pieces)        ",4.5,/product-reviews/B07PZF1GQQ/,29,prime,6,0.857632,0,39.99,20,27
58,toys,/Play-Doh-Compound-Corner-Variety-Pack/dp/B07V77DYM6/,"            Play-Doh Compound Corner Variety 6 Pack - Slime, Cloud, Krackle, Stretch, Foam        ",3.8,/product-reviews/B07V77DYM6/,25,prime,6,0.4967324,9,14.99,0,21
59,toys,/Funko-Pop-Marvel-Holiday-Multicolor/dp/B07QGWYL1Y/,"            Funko Pop! Marvel: Holiday - Groot with Wreath, Multicolor        ",4.7,/product-reviews/B07QGWYL1Y/,47,prime,1,0.7958959,0,9.99,9,30
60,toys,/Disney-Frozen-Storytelling-Fashion-Doll/dp/B07MSV8X1W/,"            Disney Frozen Anna Doll with Buildable Olaf Figure & Backpack Accessory, Inspired by 2 Movie        ",5,/product-reviews/B07MSV8X1W/,4,no prime,2,0.9630253,6,25.44,0,4
61,toys,/Frozen-Disney-Follow-Me-Friend-Olaf/dp/B07P75GM9L/,            Frozen Disney 2 Follow-Me Friend Olaf        ,3.5,/product-reviews/B07P75GM9L/,10,prime,6,0.6659568,0,36.88,8,7
62,toys,/Disney-Frozen-Frz-Character-Kristoff/dp/B07MSVFZFP/,            Disney Frozen Kristoff Fashion Doll with Brown Outfit Inspired by The Frozen 2 Movie - Toy for Kids 3 Years Old & Up        ,5,/product-reviews/B07MSVFZFP/,3,prime,3,0.9742818,0,9.88,34,3
63,toys,/Funko-42754-Advent-Calendar-Fortnite/dp/B07PPPRSB4/,            Funko Advent Calendar- Fortnite        ,4.3,/product-reviews/B07PPPRSB4/,20,prime,2,0.5698382,8,39.96,33,10
64,toys,/Wildluvs-Interactive-Elephant-Moving-Movements/dp/B07N3VZQN2/,            Wildluvs Juno My Baby Elephant with Interactive Moving Trunk & Over 150 Sounds & Movements        ,4.1,/product-reviews/B07N3VZQN2/,47,prime,6,0.6912531,7,77,0,37
65,toys,/WowWee-Pixie-Belles-Interactive-Enchanted/dp/B07NJSTD5G/,            WowWee Pixie Belles - Interactive Enchanted Animal Toy        ,4.1,/product-reviews/B07NJSTD5G/,13,prime,6,0.7295293,5,11.24,25,9
67,toys,/WowWee-Pixie-Belles-Interactive-Enchanted/dp/B07NJQ62TH/,            WowWee Pixie Belles - Interactive Enchanted Animal Toy        ,4.7,/product-reviews/B07NJQ62TH/,16,prime,6,0.7430381,0,7.85,48,16
68,toys,/Frozen-Disney-Large-Plush-Olaf/dp/B07P6ZRQQG/,            Disney Frozen 2 Large Plush Olaf        ,5,/product-reviews/B07P6ZRQQG/,4,prime,4,0.8808563,0,11.24,25,3
69,toys,/Suibety-Shooting-Digital-N-Strike-Electric/dp/B07ZFKPWCQ/,            Suibety Shooting Digital Target for Nerf Guns Blaster N-Strike Elite Mega Rival Kids Electric Scoring Auto Reset Targets Toys for Boys and Girls        ,5,/product-reviews/B07ZFKPWCQ/,10,no prime,7,0.904046,3,19.99,33,10
70,toys,/Frozen-Disney-Elsa-Deluxe-Styling/dp/B07P62BBGY/,            Disney Frozen Elsa Deluxe Styling Head        ,5,/product-reviews/B07P62BBGY/,4,prime,7,0.7214912,4,29.88,15,3
71,toys,/Cards-Against-Humanity-Ass-Pack/dp/B07XZYW9J7/,            Cards Against Humanity: Ass Pack        ,4.2,/product-reviews/B07XZYW9J7/,10,prime,1,0.7384956,0,5,0,9
72,toys,/Funko-Pop-Pokemon-Pikachu-Waving/dp/B07XYKSNXL/,            Funko Pop! Pokemon - Pikachu (Waving)        ,3.8,/product-reviews/B07XYKSNXL/,14,prime,1,0.4726672,3,6.89,37,18
73,toys,/Cards-Against-Humanity-Hidden-Exclusive/dp/B07XZY874L/,            Cards Against Humanity: Hidden Gems Bundle - Amazon Exclusive        ,4,/product-reviews/B07XZY874L/,7,prime,2,0.5771891,4,19,0,8
74,toys,/LEGO-Disney-Frozen-41169-Building/dp/B07PZF1GQP/,"            LEGO Disney Frozen II Olaf 41169 Olaf Snowman Toy Figure Building Kit Christmas Gift, New 2019 (122 Pieces)        ",4.9,/product-reviews/B07PZF1GQP/,28,prime,7,0.8868044,0,11.99,20,27
75,toys,/Hoovy-Bathtub-Toddlers-Grabber-Included/dp/B07XLPN6CT/,            Hoovy Bath Toys Fun Baby Bathtub Toy Shark Bath Toy for Toddlers Boys & Girls Shark Grabber with 4 Toy Fish Included (Shark Grabber)        ,4.7,/product-reviews/B07XLPN6CT/,114,prime,7,0.7652486,0,9.99,0,102
76,toys,/Disney-Frozen-Character-Multipack-SLED/dp/B07MM2DN3T/,"            Disney Frozen Sledding Adventures Doll Pack, Includes Elsa, Anna, Kristoff, Olaf, and Sven Fashion Dolls with Sled Toy Inspired by the Disney Frozen 2 Movie        ",5,/product-reviews/B07MM2DN3T/,3,prime,7,0.8691792,10,69,14,2
77,toys,/Elf-Shelf-Claus-Couture-Gingerbread/dp/B07P83ZD45/,            The Elf on the Shelf Claus Couture Jolly Gingerbread Set        ,3.5,/product-reviews/B07P83ZD45/,3,prime,4,0.5360738,0,12.95,0,3
79,toys,/Hasbro-Gaming-Trouble-OLAFS-Adventure/dp/B07MMP11S4/,            Trouble Game Olaf's Ice Adventure        ,2.8,/product-reviews/B07MMP11S4/,5,prime,7,0.6594625,0,14.99,25,3
80,toys,/Toy-Story-Forky-Large-Plush/dp/B07QZ4264S/,            Toy Story 4 Forky Large Plush (Amazon Exclusive)        ,5,/product-reviews/B07QZ4264S/,5,prime,3,0.9356027,0,12.99,0,4
81,toys,/Frozen-2-Elsa-Travel-Doll/dp/B07KWXVMJB/,"            Disney Frozen 2 Elsa Travel Doll - Features Shimmery Ice Crystal Winged Cape Boots and Hairstyle - Ages 3+, 14 in        ",5,/product-reviews/B07KWXVMJB/,8,prime,7,0.9684467,3,19.99,20,4
82,toys,/Pokemon-290-80647-Pok%C3%A9mon-Evolutions-Bundle/dp/B07SFF3YQW/,            Pokémon XY Evolutions Bundle        ,3.5,/product-reviews/B07SFF3YQW/,3,prime,6,0.7427823,0,17.49,13,2
83,toys,/Max-Fun-Unfinished-Centerpieces-Decorations/dp/B07XLFSXMG/,            Max Fun 120PCS DIY Wooden Christmas Ornaments Unfinished Predrilled Wood Circles for Crafts Centerpieces Holiday Hanging Decorations        ,4.8,/product-reviews/B07XLFSXMG/,16,prime,7,0.8213193,0,20.99,0,18
84,toys,/Force1-Scoot-Hand-Drones-Kids/dp/B07W9FG474/,"            Force1 Scoot Duo Hand Drones for Kids - Kids Drone, Flying Ball Drone, Toys for Boys and Girls (2pk)        ",4.1,/product-reviews/B07W9FG474/,1068,prime,6,0.6750772,163,49.99,0,1050
85,toys,/Frozen-2-Anna-Travel-Doll/dp/B07KW66DQZ/,"            Disney Frozen 2 Anna Travel Doll - Features Violet Travel Cape Boots & Hairstyle - Ages 3+, 14 In        ",5,/product-reviews/B07KW66DQZ/,4,prime,7,0.9518937,0,22.49,10,1
86,toys,/Pikmi-Pops-Pajama-Llamas-Giant/dp/B07NSQDLQW/,            Pikmi Pops Giant Pajama Llama - Gemmi Jamma - Scented Stuffed Animal Plush Toy in Popcorn Box        ,3.7,/product-reviews/B07NSQDLQW/,26,prime,6,0.4381491,0,17.12,43,24
87,toys,/Toyk-Boy-Toys-Training-Football/dp/B07X5NN5GN/,            Toyk Boy Toys - LED Hover Soccer Ball - Air Power Training Ball Playing Football Game - Soccer Toys 3 4 5 6 7 8-12 Year Old Kids Toys Best Gift        ,5,/product-reviews/B07X5NN5GN/,143,prime,6,0.670881,0,12.99,0,144
88,toys,/5-Surprise-Brands-Collectible-Capsule-Zuru/dp/B07Y7HKZT6/,            5-Surprise Mini Brands Collectible Capsule Ball by Zuru - 4 Ball Bundle        ,4.1,/product-reviews/B07Y7HKZT6/,4,no prime,1,0.9197019,3,53.64,0,3
89,toys,/Star-Wars-Mandalorian-Collectible-Action/dp/B07T85WMWL/,"            Star Wars The Black Series The Mandalorian Toy 6"" Scale Collectible Action Figure, Toys for Kids Ages 4 & Up        ",4.2,/product-reviews/B07T85WMWL/,28,no prime,7,0.5036653,22,29.99,0,24
90,toys,/Really-R-D-Robots-Exclusive/dp/B07NSXCJYL/,"            Really Rad Robots - Mibro Gold - Plays, Talks, and Pranks (Amazon Exclusive)        ",4,/product-reviews/B07NSXCJYL/,22,prime,6,0.790378,0,39.99,0,22
91,toys,/Disney-Frozen-Frz-Arendelle-Castle/dp/B07M7KW1LS/,"            Disney Frozen Ultimate Arendelle Castle Playset Inspired by The Frozen 2 Movie, 5'. Tall with Lights, Moving Balcony, & 7 Rooms with Accessories        ",3.5,/product-reviews/B07M7KW1LS/,11,prime,6,0.7632599,10,179.99,0,10
92,toys,/LEGO-Star-Wars-Resistance-Starfighter/dp/B07Q2WLMJ2/,"            LEGO Star Wars: The Rise of Skywalker Resistance Y-Wing Starfighter 75249 New Advanced Collectible Starship Model Building Kit, New 2019 (578 Pieces)        ",4.7,/product-reviews/B07Q2WLMJ2/,26,prime,6,0.7483257,0,55.99,20,23
94,toys,/Funko-Pop-Funkoverse-Strategy-Potter/dp/B07RK4L39L/,            Funko Pop! - Funkoverse Strategy Game: Harry Potter #100 - Base Set        ,4.6,/product-reviews/B07RK4L39L/,22,no prime,6,0.9613423,0,41.9,0,17
95,toys,/LEGO-Star-Wars-Building-1771Piece/dp/B07Q2N1SJV/,"            LEGO Star Wars: Attack of The Clones Yoda 75255 Yoda Building Model and Collectible Minifigure with Lightsaber, New 2019 (1,771 Pieces)        ",4.7,/product-reviews/B07Q2N1SJV/,30,prime,6,0.8040649,5,99.95,0,27
96,toys,/LEGO-Fighter-Attack-Building-Pieces/dp/B07GZ4QP4K/,"            LEGO Star Wars TIE Fighter Attack 75237 4+ Building Kit, New 2019 (77 Pieces)        ",4.7,/product-reviews/B07GZ4QP4K/,62,prime,7,0.7140323,0,15.99,20,54
97,toys,/WowWee-Pinkfong-Shark-Melody-Sorter/dp/B07NJPKDM3/,            WowWee Pinkfong Baby Shark Melody Shape Sorter - Preschool Toy        ,4.7,/product-reviews/B07NJPKDM3/,15,prime,6,0.7908183,0,18.99,5,15
98,toys,/Funko-Pop-TV-Crocodile-Hunter/dp/B07RPB576B/,            Pop! TV: Crocodile Hunter - Steve Irwin (Styles May Vary)        ,3.9,/product-reviews/B07RPB576B/,40,prime,2,0.5240577,6,9.43,14,44
99,toys,/Disney-Frozen-Frz-Romance-Pack/dp/B07MC8TCFP/,"            Disney Frozen Anna & Kristoff Fashion Dolls 2 Pack, Outfits Featured In The Frozen 2 Movie        ",5,/product-reviews/B07MC8TCFP/,1,prime,3,0.9983513,0,18.99,37,2
100,toys,/Boombox-Microphone-Flashing-Working-Connects/dp/B07V2LW1MV/,"            Frozen 2 Sing Along Boombox with Microphone, Built in Music, Flashing Lights, Real Working Mic for Kids Karaoke Machine, Connects Mp3 Player Aux in Audio Device        ",4.1,/product-reviews/B07V2LW1MV/,10,no prime,7,0.6275345,10,31.99,0,8
1,petsupplies,/Fresh-Step-Febreze-Freshness-Clumping/dp/B06XKLG362/,"            Fresh Step Odor Shield Scented Litter with The Power of Febreze, Clumping Cat Litter, 14 lb        ",4.4,/product-reviews/B06XKLG362/,730,prime,7,0.5614754,18,20.41,0,675
2,petsupplies,/SHARLOVY-Puppies-Teething-Natural-Durable/dp/B07Z4GBGVV/,"            SHARLOVY Dog Chew Toys for Puppies Teething, 14 Pack Natural Cotton Dog Rope Toys with Ball Knot Tug of War Dog Toy        ",4.2,/product-reviews/B07Z4GBGVV/,247,prime,6,0.7524126,5,21.98,0,251
3,petsupplies,/Trader-Joes-Advent-Calendar-Cats/dp/B0812Y81ML/,            Trader Joe's Advent Calendar for Cats - Salmon and Dried Seaweed Recipe Cat Treats        ,4.5,/product-reviews/B0812Y81ML/,5,prime,1,0.8481953,0,18.29,8,4
4,petsupplies,/GOODGROWLIES-Dewormer-Dogs-Cats-Eliminates/dp/B07XWLH5V4/,"            GOODGROWLIES Dew0rmer for Cats & Dogs - Made in USA Broad Spectrum Worm Treatment - Eliminates & Prevents Tapeworms, Roundworms, Hookworms, Whipworms        ",4.8,/product-reviews/B07XWLH5V4/,279,prime,7,0.6303028,33,19.87,0,277
5,petsupplies,/Costume-Fancy-Parties-Adjustable-Medium/dp/B07ZF2T3HL/,"            Dog Lion Mane Pet Dog Costume, Pet Wigs for Dogs Fancy Lion Hair, Pet Dog Lion Mane Wig for Parties, Adjustable Pet Lion Mane for Medium to Large Sized Dog with Ears &Tail        ",5,/product-reviews/B07ZF2T3HL/,15,no prime,6,0.9107665,5,16.99,0,15
